symbol,name,exchange,yahoo
FAF,First American Corporation (New) Common Stock,N,FAF
FBIN,"Fortune Brands Innovations, Inc. Common Stock",N,FBIN
FBK,FB Financial Corporation Common Stock,N,FBK
FBP,First BanCorp. New Common Stock,N,FBP
FBRT,"Franklin BSP Realty Trust, Inc. Common Stock",N,FBRT
FBRT$E,"Franklin BSP Realty Trust, Inc. 7.50% Series E Cumulative Redeemable Preferred Stock",N,FBRT$E
FC,Franklin Covey Company Common Stock,N,FC
FCF,First Commonwealth Financial Corporation Common Stock,N,FCF
FCN,"FTI Consulting, Inc. Common Stock",N,FCN
FCPT,"Four Corners Property Trust, Inc. Common Stock",N,FCPT
FCRS.U,"FutureCrest Acquisition Corp. Units, each consisting of one Class A ordinary share and one-quarter of one redeemable warrant",N,FCRS-U
FCRX,"Crescent Capital BDC, Inc. 5.00% Notes due 2026",N,FCRX
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,N,FCT
FCX,"Freeport-McMoRan, Inc. Common Stock",N,FCX
FDP,"Fresh Del Monte Produce, Inc. Common Stock",N,FDP
FDS,FactSet Research Systems Inc. Common Stock,N,FDS
FDX,FedEx Corporation Common Stock,N,FDX
FE,FirstEnergy Corp. Common Stock,N,FE
FEDU,"Four Seasons Education (Cayman) Inc. American Depositary Shares, each ADS representing 10 ordinary shares",N,FEDU
FENG,"Phoenix New Media Limited American Depositary Shares, each representing 48 Class A ordinary shares.",N,FENG
FERG,Ferguson Enterprises Inc. Common Stock,N,FERG
FET,"Forum Energy Technologies, Inc. Common Stock",N,FET
FF,FutureFuel Corp.  Common shares,N,FF
FFA,First Trust Enhanced Equity Income Fund,N,FFA
FFC,Flaherty & Crumrine Preferred and Income Securities Fund Incorporated,N,FFC
FFWM,First Foundation Inc. Common Stock,N,FFWM
FG,"F&G Annuities & Life, Inc. Common Stock",N,FG
FGN,"F&G Annuities & Life, Inc. 7.950% Senior Notes due 2053",N,FGN
FGSN,"F&G Annuities & Life, Inc. 7.300% Junior Subordinated Notes due 2065",N,FGSN
FHI,"Federated Hermes, Inc. Common Stock",N,FHI
FHN,First Horizon Corporation Common Stock,N,FHN
FHN$C,"First Horizon Corporation Depositary Shares, each representing a 1/400th interest in a share of Non-Cumulative Perpetual Preferred Stock, Series C",N,FHN$C
FHN$E,"First Horizon Corporation Depositary Shares, each representing a 1/4,000th interest in a share of Non-Cumulative Perpetual Preferred Stock, Series E",N,FHN$E
FHN$F,"First Horizon Corporation Depositary Shares, each representing 1/4000th Interest in a Share of Non-Cumulative Perpetual Preferred Stock, Series F",N,FHN$F
FI,"Fiserv, Inc. Common Stock",N,FI
FICO,Fair Isaac Corporation Common Stock,N,FICO
FIG,"Figma, Inc. Class A Common Stock",N,FIG
FIGS,"FIGS, Inc. Class A Common Stock",N,FIGS
FIHL,Fidelis Insurance Holdings Limited Common Shares,N,FIHL
FINS,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,N,FINS
FINV,FinVolution Group American Depositary Shares,N,FINV
FIS,"Fidelity National Information Services, Inc. Common Stock",N,FIS
FIX,"Comfort Systems USA, Inc. Common Stock",N,FIX
FLC,Flaherty & Crumrine Total Return Fund Inc Common Stock,N,FLC
FLG,"Flagstar Bank, N.A. Common Stock",N,FLG
FLG$A,"Flagstar Bank, N.A. Depositary shares, each representing a 1/40th interest in a share of Fixed-to-Floating Rate Series A Noncumulative Perpetual Preferred Stock",N,FLG$A
FLG$U,"Flagstar Bank, N.A. Bifurcated Option Note Unit SecuritiES",N,FLG$U
FLNG,FLEX LNG Ltd. Ordinary Shares,N,FLNG
FLO,"Flowers Foods, Inc. Common Stock",N,FLO
FLOC,Flowco Holdings Inc. Class A Common Stock,N,FLOC
FLR,Fluor Corporation Common Stock,N,FLR
FLS,Flowserve Corporation Common Stock,N,FLS
FLUT,Flutter Entertainment plc Ordinary Shares,N,FLUT
FMC,FMC Corporation Common Stock,N,FMC
FMN,Federated Hermes Premier Municipal Income Fund,N,FMN
FMS,Fresenius Medical Care AG American Depositary Shares (Each representing 1/2 of an Ordinary Share),N,FMS
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,N,FMX
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,N,FMY
FN,Fabrinet Ordinary Shares,N,FN
FNB,F.N.B. Corporation Common Stock,N,FNB
FND,"Floor & Decor Holdings, Inc. Common Stock",N,FND
FNF,"Fidelity National Financial, Inc. Common Stock",N,FNF
FNV,Franco-Nevada Corporation,N,FNV
FOA,Finance of America Companies Inc. Class A Common Stock,N,FOA
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",N,FOF
FOR,Forestar Group Inc Common Stock ,N,FOR
FOUR,"Shift4 Payments, Inc. Class A Common Stock",N,FOUR
FOUR$A,"Shift4 Payments, Inc. 6.00% Series A Mandatory Convertible Preferred Stock",N,FOUR$A
FPF,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,N,FPF
FPH,"Five Point Holdings, LLC Class A Common Shares",N,FPH
FPI,Farmland Partners Inc. Common Stock,N,FPI
FR,"First Industrial Realty Trust, Inc. Common Stock",N,FR
FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,N,FRA
FRGE,"Forge Global Holdings, Inc. Common Stock",N,FRGE
FRO,Frontline Plc Ordinary Shares,N,FRO
FRT,Federal Realty Investment Trust Common Stock,N,FRT
FRT$C,"Federal Realty Investment Trust Depositary Shares, each representing a 1/1000th interest in a 5.000% Series C Cumulative Redeemable Preferred Share",N,FRT$C
FSCO,FS Credit Opportunities Corp. Common Stock,N,FSCO
FSK,FS KKR Capital Corp. Common Stock,N,FSK
FSLY,"Fastly, Inc. Class A Common Stock",N,FSLY
FSM,Fortuna Mining Corp. Common Shares,N,FSM
FSS,Federal Signal Corporation Common Stock,N,FSS
FT,Franklin Universal Trust Common Stock,N,FT
FTHY,First Trust High Yield Opportunities 2027 Term Fund Common Stock,N,FTHY
FTI,TechnipFMC plc Ordinary Share,N,FTI
FTK,"Flotek Industries, Inc. Common Stock",N,FTK
FTS,Fortis Inc. Common Shares,N,FTS
FTV,Fortive Corporation Common Stock ,N,FTV
FUBO,fuboTV Inc. Common Stock,N,FUBO
FUL,H. B. Fuller Company Common Stock,N,FUL
FUN,Six Flags Entertainment Corporation Common Stock New,N,FUN
FVR,"FrontView REIT, Inc. Common Stock",N,FVR
FVRR,"Fiverr International Ltd. Ordinary Shares, no par value",N,FVRR
G,Genpact Limited Common Stock,N,G
GAB,"Gabelli Equity Trust, Inc. (The) Common Stock",N,GAB
GAB$G,"Gabelli Equity Trust, Inc. (The) Series G Cumulative Preferred Stock",N,GAB$G
GAB$H,"Gabelli Equity Trust, Inc. (The) Pfd Ser H",N,GAB$H
GAB$K,"Gabelli Equity Trust, Inc. (The) 5.00% Series K Cumulative Preferred Stock",N,GAB$K
GAM,"General American Investors, Inc. Common Stock",N,GAM
GAM$B,"General American Investors Company, Inc. Cumulative Preferred Stock",N,GAM$B
GAP,"Gap, Inc. (The) Common Stock",N,GAP
GATX,GATX Corporation Common Stock,N,GATX
GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,N,GBAB
GBCI,"Glacier Bancorp, Inc. Common Stock",N,GBCI
GBLI,"Global Indemnity Group, LLC Class A Common Stock (DE)",N,GBLI
GBTG,"Global Business Travel Group, Inc. Class A Common Stock",N,GBTG
GBX,"Greenbrier Companies, Inc. (The) Common Stock",N,GBX
GCI,"Gannett Co., Inc. Common Stock",N,GCI
GCO,Genesco Inc. Common Stock,N,GCO
GCTS,"GCT Semiconductor Holding, Inc. Common Stock",N,GCTS
GCTS.W,"GCT Semiconductor Holding, Inc. Warrants, each whole warrant exercisable for one share of Common Stock at an exercise price of $11.50",N,GCTS-W
GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The) Common Stock",N,GCV
GD,General Dynamics Corporation Common Stock,N,GD
GDDY,GoDaddy Inc. Class A Common Stock,N,GDDY
GDL,"GDL Fund, The Common Shares of Beneficial Interest",N,GDL
GDO,Western Asset Global Corporate Opportunity Fund Inc. Common Stock,N,GDO
GDOT,"Green Dot Corporation Class A Common Stock, $0.001 par value",N,GDOT
GDV,Gabelli Dividend & Income Trust Common Shares of Beneficial Interest,N,GDV
GDV$H,The Gabelli Dividend & Income Trust 5.375% Series H Cumulative Preferred Shares,N,GDV$H
GDV$K,The Gabelli Dividend & Income Trust 4.250% Series K Cumulative Preferred Shares,N,GDV$K
GE,GE Aerospace Common Stock,N,GE
GEF,Greif Inc. Class A Common Stock,N,GEF
GEF.B,"Greif, Inc. Corporation Class B Common Stock",N,GEF-B
GEL,"Genesis Energy, L.P. Common Units",N,GEL
GENI,Genius Sports Limited Ordinary Shares,N,GENI
GEO,Geo Group Inc (The) REIT,N,GEO
GES,"Guess?, Inc. Common Stock",N,GES
GETY,"Getty Images Holdings, Inc. Class A Common Stock",N,GETY
GEV,GE Vernova Inc. Common Stock,N,GEV
GF,"New Germany Fund, Inc. (The) Common Stock",N,GF
GFF,Griffon Corporation Common Stock,N,GFF
GFI,Gold Fields Limited American Depositary Shares,N,GFI
GFL,"GFL Environmental Inc. Subordinate voting shares, no par value",N,GFL
GFR,Greenfire Resources Ltd. Common Shares,N,GFR
GGB,Gerdau S.A. Common Stock,N,GGB
GGG,Graco Inc. Common Stock,N,GGG
GGT,"Gabelli Multi-Media Trust, Inc. (The) Common Stock",N,GGT
GGT$E,Gabelli Multi-Media Trust Inc. (The) 5.125% Series E Cumulative Preferred Stock,N,GGT$E
GGT$G,Gabelli Multi-Media Trust Inc. (The) 5.125% Series G Cumulative Preferred Shares,N,GGT$G
GGZ,Gabelli Global Small and Mid Cap Value Trust (The) Common Shares of Beneficial Interest,N,GGZ
GHC,Graham Holdings Company Common Stock,N,GHC
GHG,"GreenTree Hospitality Group Ltd. American depositary shares, each representing one Class A ordinary share",N,GHG
GHI,Greystone Housing Impact Investors LP Beneficial Unit Certificates representing assignments of limited partnership interests,N,GHI
GHLD,Guild Holdings Company Class A Common Stock,N,GHLD
GHM,Graham Corporation Common Stock,N,GHM
GHY,"PGIM Global High Yield Fund, Inc.",N,GHY
GIB,CGI Inc. Common Stock,N,GIB
GIC,Global Industrial Company Common Stock,N,GIC
GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",N,GIL
GIS,"General Mills, Inc. Common Stock",N,GIS
GJH,Synthetic Fixed-Income Securities Inc 6.375% (STRATS) Cl A-1,N,GJH
GJO,"Synthetic Fixed-Income Securities, Inc. on behalf of STRATS(SM) Trust for Wal-Mart Stores, Inc. Securities, Series 2004-5",N,GJO
GJP,"Synthetic Fixed-Income Securities, Inc. on behalf of STRATS (SM) Trust for Dominion Resources, Inc. Securities, Series 2005-6, Floating Rate Structured Repackaged Asset-Backed Trust Securities (STRATS) Certificates",N,GJP
GJR,"Synthetic Fixed-Income Securities, Inc. STRATS Trust for Procter&Gamble Securities, Series 2006-1",N,GJR
GJS,"Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities, Series 2006-2",N,GJS
GJT,"Synthetic Fixed-Income Securities, Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates, Series 2006-3",N,GJT
GKOS,Glaukos Corporation Common Stock,N,GKOS
GL,Globe Life Inc. Common Stock,N,GL
GL$D,Globe Life Inc. 4.25% Junior Subordinated Debentures due 2061,N,GL$D
GLOB,Globant S.A. Common Shares,N,GLOB
GLOP$A,GasLog Partners LP 8.625% Series A Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,N,GLOP$A
GLOP$B,GasLog Partners LP 8.200% Series B Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,N,GLOP$B
GLOP$C,GasLog Partners LP 8.500% Series C Cumulative Redeemable Perpetual Fixed to Floating Rate Preference Units,N,GLOP$C
GLP,Global Partners LP Common Units representing Limited Partner Interests,N,GLP
GLP$B,Global Partners LP 9.50% Series B Fixed Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests,N,GLP$B
GLW,Corning Incorporated Common Stock,N,GLW
GM,General Motors Company Common Stock,N,GM
GME,GameStop Corporation Common Stock,N,GME
GME.W,GameStop Corporation Warrants to Purchase Common Stock,N,GME-W
GMED,"Globus Medical, Inc. Class A Common Stock",N,GMED
GMRE,Global Medical REIT Inc. Common Stock,N,GMRE
GMRE$A,Global Medical REIT Inc. Series A Cumulative Redeemable Preferred Stock,N,GMRE$A
GNE,Genie Energy Ltd. Class B Common Stock Stock,N,GNE
GNK,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands),N,GNK
GNL,"Global Net Lease, Inc. Common Stock",N,GNL
GNL$A,"Global Net Lease, Inc. 7.25% Series A Cumulative Redeemable Preferred Stock, $0.01 par value per share",N,GNL$A
GNL$B,"Global Net Lease, Inc. 6.875% Series B Cumulative Redeemable Perpetual Preferred Stock",N,GNL$B
GNL$D,"Global Net Lease, Inc. 7.50% Series D Cumulative Redeemable Perpetual Preferred Stock",N,GNL$D
GNL$E,"Global Net Lease, Inc. 7.375% Series E Cumulative Redeemable Perpetual Preferred Stock",N,GNL$E
GNRC,Generac Holdlings Inc. Common Stock,N,GNRC
GNT,"GAMCO Natural Resources, Gold & Income Trust",N,GNT
GNT$A,"GAMCO Natural Resources, Gold & Income Tust  5.20% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share)",N,GNT$A
GNW,Genworth Financial Inc Common Stock,N,GNW
GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest,N,GOF
GOLF,Acushnet Holdings Corp. Common Stock,N,GOLF
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,N,GOOS
GOTU,Gaotu Techedu Inc. American Depositary Shares,N,GOTU
GPC,Genuine Parts Company Common Stock,N,GPC
GPI,"Group 1 Automotive, Inc. Common Stock",N,GPI
GPJA,"Georgia Power Company Series 2017A 5.00% Junior Subordinated Notes due October 1, 2077",N,GPJA
GPK,Graphic Packaging Holding Company,N,GPK
GPMT,Granite Point Mortgage Trust Inc. Common Stock,N,GPMT
GPMT$A,Granite Point Mortgage Trust Inc. 7.00% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,N,GPMT$A
GPN,Global Payments Inc. Common Stock,N,GPN
GPOR,Gulfport Energy Corporation Common Shares,N,GPOR
GPRK,Geopark Ltd Common Shares,N,GPRK
GRBK,"Green Brick Partners, Inc. Common Stock",N,GRBK
GRBK$A,"Green Brick Partners, Inc. Depositary Shares (each representing a 1/1000th fractional interest in a share of 5.75% Series A Cumulative Perpetual Preferred Stock)",N,GRBK$A
GRC,Gorman-Rupp Company (The) Common Stock,N,GRC
GRDN,"Guardian Pharmacy Services, Inc. Class A Common Stock",N,GRDN
GRMN,Garmin Ltd. Common Stock (Switzerland),N,GRMN
GRND,Grindr Inc. Common Stock,N,GRND
GRNT,"Granite Ridge Resources, Inc. Common Stock",N,GRNT
GROV,"Grove Collaborative Holdings, Inc. Class A Common Stock",N,GROV
GRP.U,Granite Real Estate Inc. Units,N,GRP-U
GRX,The Gabelli Healthcare & Wellness Trust Common Shares of Beneficial Interest,N,GRX
GS,"Goldman Sachs Group, Inc. (The) Common Stock",N,GS
GS$A,"Goldman Sachs Group, Inc. (The) Depositary Shares each representing 1/1000th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series A",N,GS$A
GS$C,"Goldman Sachs Group, Inc. (The) Depositary Share repstg 1/1000th Preferred Series C",N,GS$C
GS$D,"Goldman Sachs Group, Inc. (The) Dep Shs repstg 1/1000 Pfd Ser D Fltg",N,GS$D
GSBD,"Goldman Sachs BDC, Inc. Common Stock",N,GSBD
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),N,GSK
GSL,Global Ship Lease Inc New Class A Common Shares,N,GSL
GSL$B,"Global Ship Lease, Inc. Depository Shares Representing 1/100th Perpetual Preferred Series B% (Marshall Island)",N,GSL$B
GTES,Gates Industrial Corporation plc Ordinary Shares,N,GTES
GTLS,"Chart Industries, Inc. Common Stock",N,GTLS
GTLS$B,"Chart Industries, Inc. Depositary Shares, each Representing a 1/20th Interest in a Share of 6.75% Series B Mandatory Convertible Preferred Stock",N,GTLS$B
GTN,"Gray Media, Inc. Common Stock",N,GTN
GTN.A,"Gray Media, Inc. Class A Common Stock",N,GTN-A
GTY,Getty Realty Corporation Common Stock,N,GTY
GUG,Guggenheim Active Allocation Fund Common Shares of Beneficial Interest,N,GUG
GUT,Gabelli Utility Trust (The) Common Stock,N,GUT
GUT$C,Gabelli Utility Trust (The) 5.375% Series C Cumulative Preferred Shares,N,GUT$C
GVA,Granite Construction Incorporated Common Stock,N,GVA
GWH,"ESS Tech, Inc. Common Stock",N,GWH
GWH.W,"ESS Tech, Inc. Warrant",N,GWH-W
GWRE,"Guidewire Software, Inc. Common Stock",N,GWRE
GWW,"W.W. Grainger, Inc. Common Stock",N,GWW
GXO,"GXO Logistics, Inc. Common Stock ",N,GXO
H,Hyatt Hotels Corporation Class A Common Stock,N,H
HAE,Haemonetics Corporation Common Stock,N,HAE
HAFN,Hafnia Limited Common Shares,N,HAFN
HAL,Halliburton Company Common Stock,N,HAL
HASI,"HA Sustainable Infrastructure Capital, Inc. Common Stock",N,HASI
HAYW,"Hayward Holdings, Inc. Common Stock",N,HAYW
HBB,Hamilton Beach Brands Holding Company Class A Common Stock ,N,HBB
HBI,Hanesbrands Inc. Common Stock,N,HBI
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada),N,HBM
HCA,"HCA Healthcare, Inc. Common Stock",N,HCA
HCC,"Warrior Met Coal, Inc. Common Stock",N,HCC
HCI,"HCI Group, Inc. Common Stock",N,HCI
HCXY,"Hercules Capital, Inc. 6.25% Notes due 2033",N,HCXY
HD,"Home Depot, Inc. (The) Common Stock",N,HD
HDB,HDFC Bank Limited Common Stock,N,HDB
HE,"Hawaiian Electric Industries, Inc. Common Stock",N,HE
HEI,Heico Corporation Common Stock,N,HEI
HEI.A,Heico Corporation Common Stock,N,HEI-A
HEQ,John Hancock Diversified Income Fund Common Shares of Beneficial Interest,N,HEQ
HESM,Hess Midstream LP Class A Representing Limited Partner Interests,N,HESM
HFRO,Highland Opportunities and Income Fund Common Shares of Beneficial Interest,N,HFRO
HFRO$A,Highland Opportunities and Income Fund 5.375% Series A Cumulative Preferred Shares,N,HFRO$A
HFRO$B,Highland Opportunities and Income Fund 5.375% Series B Cumulative Preferred Shares,N,HFRO$B
HG,"Hamilton Insurance Group, Ltd. Class B Common Shares",N,HG
HGLB,Highland Global Allocation Fund Common Stock,N,HGLB
HGTY,"Hagerty, Inc. Class A Common Stock",N,HGTY
HGV,Hilton Grand Vacations Inc. Common Stock ,N,HGV
HHH,Howard Hughes Holdings Inc. Common Stock,N,HHH
HI,Hillenbrand Inc Common Stock,N,HI
HIG,"The Hartford Insurance Group, Inc. Common Stock",N,HIG
HIG$G,"The Hartford Insurance Group, Inc. Depositary Shares each representing a 1/1000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series G",N,HIG$G
HII,"Huntington Ingalls Industries, Inc. Common Stock",N,HII
HIMS,"Hims & Hers Health, Inc. Class A Common Stock",N,HIMS
HIO,"Western Asset High Income Opportunity Fund, Inc. Common Stock",N,HIO
HIPO,Hippo Holdings Inc. Common Stock,N,HIPO
HIW,"Highwoods Properties, Inc. Common Stock",N,HIW
HIX,Western Asset High Income Fund II Inc. Common Stock,N,HIX
HKD,AMTD Digital Inc. American Depositary Shares (every five of which represent two Class A Ordinary Shares),N,HKD
HL,Hecla Mining Company Common Stock,N,HL
HL$B,Hecla Mining Company Preferred Stock,N,HL$B
HLF,Herbalife Ltd. Common Shares,N,HLF
HLI,"Houlihan Lokey, Inc. Class A Common Stock",N,HLI
HLIO,"Helios Technologies, Inc. Common Stock",N,HLIO
HLLY,Holley Inc. Common Stock,N,HLLY
HLLY.W,Holley Inc. Warrants,N,HLLY-W
HLN,Haleon plc American Depositary Shares (Each representing two Ordinary Shares),N,HLN
HLT,Hilton Worldwide Holdings Inc. Common Stock ,N,HLT
HLX,"Helix Energy Solutions Group, Inc. Common Stock",N,HLX
HMC,"Honda Motor Company, Ltd. Common Stock",N,HMC
HMN,Horace Mann Educators Corporation Common Stock,N,HMN
HMY,Harmony Gold Mining Company Limited,N,HMY
HNGE,"Hinge Health, Inc. Class A Common Stock",N,HNGE
HNI,HNI Corporation Common Stock,N,HNI
HOG,"Harley-Davidson, Inc. Common Stock",N,HOG
HOMB,"Home BancShares, Inc. Common Stock",N,HOMB
HOUS,"Anywhere Real Estate Inc. Common Stock,",N,HOUS
HOV,"Hovnanian Enterprises, Inc. Class A Common Stock",N,HOV
HP,"Helmerich & Payne, Inc. Common Stock",N,HP
HPE,Hewlett Packard Enterprise Company Common Stock,N,HPE
HPE$C,Hewlett Packard Enterprise Company 7.625% Series C Mandatory Convertible Preferred Stock,N,HPE$C
HPF,John Hancock Pfd Income Fund II Pfd Income Fund II,N,HPF
HPI,John Hancock Preferred Income Fund Common Shares of Beneficial Interest,N,HPI
HPP,"Hudson Pacific Properties, Inc. Common Stock",N,HPP
HPP$C,"Hudson Pacific Properties, Inc. 4.750% Series C Cumulative Redeemable Preferred Stock",N,HPP$C
HPQ,HP Inc. Common Stock,N,HPQ
HPS,John Hancock Preferred Income Fund III Preferred Income Fund III,N,HPS
HQH,abrdn Healthcare Investors Shares of Beneficial Interest,N,HQH
HQL,abrdn Life Sciences Investors Shares of Beneficial Interest,N,HQL
HR,Healthcare Realty Trust Incorporated Common Stock,N,HR
HRB,"H&R Block, Inc. Common Stock",N,HRB
HRI,Herc Holdings Inc. Common Stock ,N,HRI
HRL,Hormel Foods Corporation Common Stock,N,HRL
HRTG,"Heritage Insurance Holdings, Inc. Common Stock",N,HRTG
HSBC,"HSBC Holdings, plc. Common Stock",N,HSBC
HSHP,Himalaya Shipping Ltd. Common Shares,N,HSHP
HSY,The Hershey Company Common Stock,N,HSY
HTB,"HomeTrust Bancshares, Inc. Common Stock",N,HTB
HTD,John Hancock Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,N,HTD
HTFB,Horizon Technology Finance Corporation 4.875% Notes due 2026,N,HTFB
HTFC,Horizon Technology Finance Corporation 6.25% Notes due 2027,N,HTFC
HTGC,"Hercules Capital, Inc. Common Stock",N,HTGC
HTH,Hilltop Holdings Inc.,N,HTH
HUBB,Hubbell Inc Common Stock,N,HUBB
HUBS,"HubSpot, Inc. Common Stock",N,HUBS
HUM,Humana Inc. Common Stock,N,HUM
HUN,Huntsman Corporation Common Stock,N,HUN
HUYA,"HUYA Inc. American depositary shares, each  representing one Class A ordinary share",N,HUYA
HVT,"Haverty Furniture Companies, Inc. Common Stock",N,HVT
HVT.A,"Haverty Furniture Companies, Inc. Common Stock",N,HVT-A
HWM,Howmet Aerospace Inc. Common Stock,N,HWM
HXL,Hexcel Corporation Common Stock,N,HXL
HY,"Hyster-Yale, Inc. Class A common stock",N,HY
HYAC,Haymaker Acquisition Corp. 4 Class A Ordinary Shares,N,HYAC
HYAC.U,"Haymaker Acquisition Corp. 4 Units, each consisting one Class A Ordinary Share and one-half of one redeemable Warrant",N,HYAC-U
HYAC.W,"Haymaker Acquisition Corp. 4 Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",N,HYAC-W
HYI,Western Asset High Yield Opportunity Fund Inc. Common Stock,N,HYI
HYT,"Blackrock Corporate High Yield Fund, Inc. Common Stock",N,HYT
HZO,"MarineMax, Inc.  (FL) Common Stock",N,HZO
IAE,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest,N,IAE
IAG,Iamgold Corporation Ordinary Shares,N,IAG
IBM,International Business Machines Corporation Common Stock,N,IBM
IBN,ICICI Bank Limited Common Stock,N,IBN
IBP,"Installed Building Products, Inc. Common Stock",N,IBP
IBTA,"Ibotta, Inc. Class A Common Stock",N,IBTA
ICE,Intercontinental Exchange Inc. Common Stock,N,ICE
ICL,ICL Group Ltd. Ordinary Shares,N,ICL
ICR$A,"InPoint Commercial Real Estate Income, Inc. 6.75% Series A Cumulative Redeemable Preferred Stock",N,ICR$A
IDA,"IDACORP, Inc. Common Stock",N,IDA
IDE,"Voya Infrastructure, Industrials and Materials Fund Common Shares of Beneficial Interest",N,IDE
IDT,IDT Corporation Class B Common Stock,N,IDT
IEX,IDEX Corporation Common Stock,N,IEX
IFF,"International Flavors & Fragrances, Inc. Common Stock",N,IFF
IFN,"India Fund, Inc. (The) Common Stock",N,IFN
IFS,Intercorp Financial Services Inc. Common Shares,N,IFS
IGA,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest,N,IGA
IGD,Voya Global Equity Dividend and Premium Opportunity Fund,N,IGD
IGI,Western Asset Investment Grade Opportunity Trust Inc. Common Stock,N,IGI
IGR,CBRE Global Real Estate Income Fund Common Shares of Beneficial Interest,N,IGR
IH,"iHuman Inc. American depositary shares, each representing five Class A ordinary shares",N,IH
IHD,Voya Emerging Markets High Income Dividend Equity Fund Common Shares,N,IHD
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),N,IHG
IHS,IHS Holding Limited Ordinary Shares,N,IHS
IIF,"Morgan Stanley India Investment Fund, Inc. Common Stock",N,IIF
IIIN,"Insteel Industries, Inc. Common Stock",N,IIIN
IIM,Invesco Value Municipal Income Trust Common Stock,N,IIM
IIPR,"Innovative Industrial Properties, Inc. Common Stock",N,IIPR
IIPR$A,"Innovative Industrial Properties, Inc. 9.00% Series A Cumulative Redeemable Preferred Stock",N,IIPR$A
IMAX,Imax Corporation Common Stock,N,IMAX
INFA,Informatica Inc. Class A Common Stock,N,INFA
INFY,Infosys Limited American Depositary Shares,N,INFY
ING,"ING Group, N.V. Common Stock",N,ING
INGM,Ingram Micro Holding Corporation Common Stock,N,INGM
INGR,Ingredion Incorporated Common Stock,N,INGR
INN,"Summit Hotel Properties, Inc. Common Stock",N,INN
INN$E,"Summit Hotel Properties, Inc. 6.250% Series E Cumulative Redeemable Preferred Stock",N,INN$E
INN$F,"Summit Hotel Properties, Inc. 5.875% Series F Cumulative Redeemable Preferred Stock, $0.01 par value per share",N,INN$F
INR,"Infinity Natural Resources, Inc. Class A Common Stock",N,INR
INSP,"Inspire Medical Systems, Inc. Common Stock",N,INSP
INSW,"International Seaways, Inc. Common Stock ",N,INSW
INVH,Invitation Homes Inc. Common Stock,N,INVH
INVX,"Innovex International, Inc. Common Stock",N,INVX
IONQ,"IonQ, Inc. Common Stock",N,IONQ
IONQ.W,"IonQ, Inc. Redeemable warrants, each whole warrant exercisable for one share of Common Stock, each at an exercise price of $11.50 per share",N,IONQ-W
IOT,Samsara Inc. Class A Common Stock,N,IOT
IP,International Paper Company Common Stock,N,IP
IPG,"Interpublic Group of Companies, Inc. (The) Common Stock",N,IPG
IPI,"Intrepid Potash, Inc Common Stock",N,IPI
IQI,Invesco Quality Municipal Income Trust Common Stock,N,IQI
IQV,"IQVIA Holdings, Inc. Common Stock",N,IQV
IR,Ingersoll Rand Inc. Common Stock,N,IR
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,N,IRM
IRS,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),N,IRS
IRS.W,IRSA Inversiones Y Representaciones S.A. Warrants to purchase Common Shares,N,IRS-W
IRT,"Independence Realty Trust, Inc. Common Stock",N,IRT
ISD,"PGIM High Yield Bond Fund, Inc.",N,ISD
IT,"Gartner, Inc. Common Stock",N,IT
ITGR,Integer Holdings Corporation Common Stock,N,ITGR
ITT,ITT Inc. Common Stock ,N,ITT
